id,First name,Last name,Date of birth,Country of birth,City of birth,Year of award,Category,Motivation
194,Otto Heinrich,Warburg,10/08/1883,Germany,Freiburg im Breisgau,1931.0,medicine,for his discovery of the nature and mode of action of the respiratory enzyme
195,Hans,Spemann,06/27/1869,Germany,Stuttgart,1935.0,medicine,for his discovery of the organizer effect in embryonic development
196,Bernardo Alberto,Houssay,04/10/1887,Argentina,Buenos Aires,1947.0,medicine,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar
197,Carl David,Anderson,9/3/1905,USA,"New York, NY",1936.0,physics,for his discovery of the positron
198,Johannes Andreas Grib,Fibiger,04/23/1867,Denmark,Silkeborg,1926.0,medicine,for his discovery of the Spiroptera carcinoma
199,Antonio Caetano de Abreu Freire Egas,Moniz,11/29/1874,Portugal,Avanca,1949.0,medicine,for his discovery of the therapeutic value of leucotomy in certain psychoses
200,Julius,Wagner-Jauregg,03/07/1857,Austria,Wels,1927.0,medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
201,Prince Louis-Victor Pierre Raymond,de Broglie,08/15/1892,France,Dieppe,1929.0,physics,for his discovery of the wave nature of electrons
202,Peyton,Rous,10/05/1879,USA,"Baltimore, MD",1966.0,medicine,for his discovery of tumour-inducing viruses
203,Henrik Carl Peter,Dam,02/21/1895,Denmark,Copenhagen,1943.0,medicine,for his discovery of vitamin K
204,Archibald Vivian,Hill,09/26/1886,United Kingdom,Bristol,1922.0,medicine,for his discovery relating to the production of heat in the muscle
205,James Batcheller,Sumner,11/19/1887,USA,"Canton, MA",1946.0,chemistry,for his discovery that enzymes can be crystallized
206,Francis William,Aston,09/01/1877,United Kingdom,Harborne,1922.0,chemistry,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule"
207,Eugenio,Montale,10/12/1896,Italy,Genoa,1975.0,literature,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"
208,John,Galsworthy,08/14/1867,United Kingdom,Kingston Hill,1932.0,literature,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>
209,Giorgos,Seferis,3/13/1900,Ottoman Empire (now Turkey),Smyrna (now Izmir),1963.0,literature,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"
210,Simon,Kuznets,4/30/1901,Russian Empire (now Belarus),Pinsk,1971.0,economics,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
211,Barack H.,Obama,8/4/1961,USA,"Honolulu, HI",2009.0,peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples
212,Paul J.,Flory,6/19/1910,USA,"Sterling, IL",1974.0,chemistry,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"
213,Michael,Smith,4/26/1932,United Kingdom,Blackpool,1993.0,chemistry,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
214,Max,Born,12/11/1882,Germany (now Poland),Breslau (now Wroclaw),1954.0,physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction"
215,Paul,Berg,6/30/1926,USA,"New York, NY",1980.0,chemistry,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"
216,Robert S.,Mulliken,06/07/1896,USA,"Newburyport, MA",1966.0,chemistry,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
217,Ernst,Ruska,12/25/1906,Germany,Heidelberg,1986.0,physics,"for his fundamental work in electron optics, and for the design of the first electron microscope"
218,Wladyslaw Stanislaw,Reymont,05/07/1867,Russian Empire (now Poland),Kobiele Wielkie,1924.0,literature,"for his great national epic, <I>The Peasants</I>"
219,Isaac Bashevis,Singer,7/14/1904,Russian Empire (now Poland),Leoncin,1978.0,literature,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"
220,Boris Leonidovich,Pasternak,02/10/1890,Russia,Moscow,1958.0,literature,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
221,Martti,Ahtisaari,6/23/1937,Finland (now Russia),Viipuri (now Vyborg),2008.0,peace,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts"
222,Albert,Camus,11/7/1913,French Algeria (now Algeria),Mondovi,1957.0,literature,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"
223,Hermann,Hesse,07/02/1877,Germany,Calw,1946.0,literature,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"
224,Georges,Charpak,8/1/1924,Poland,Dabrovica,1992.0,physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
225,Georges,Charpak,8/1/1924,Poland,Dabrovica,1992.0,physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
226,Dennis,Gabor,6/5/1900,Hungary,Budapest,1971.0,physics,for his invention and development of the holographic method
227,Nils Gustaf,Dal_n,11/30/1869,Sweden,Stenstorp,1912.0,physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
228,Fritz,Pregl,09/03/1869,Austria-Hungary (now Slovenia),Laibach (now Ljubljana),1923.0,chemistry,for his invention of the method of micro-analysis of organic substances
229,Kary B.,Mullis,12/28/1944,USA,"Lenoir, NC",1993.0,chemistry,for his invention of the polymerase chain reaction (PCR) method
230,Robert,Koch,12/11/1843,Germany,Clausthal (now Clausthal-Zellerfeld),1905.0,medicine,for his investigations and discoveries in relation to tuberculosis
231,Ernest,Rutherford,08/30/1871,New Zealand,Nelson,1908.0,chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
232,Heinrich Otto,Wieland,06/04/1877,Germany,Pforzheim,1927.0,chemistry,for his investigations of the constitution of the bile acids and related substances
233,Lord Rayleigh,(John William Strutt),11/12/1842,United Kingdom,"Langford Grove, Maldon, Essex",1904.0,physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
234,Sir Edward Victor,Appleton,09/06/1892,United Kingdom,Bradford,1947.0,physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer
235,Walter Norman,Haworth,03/19/1883,United Kingdom,Chorley,1937.0,chemistry,for his investigations on carbohydrates and vitamin C
236,Paul,Karrer,04/21/1889,Russia,Moscow,1937.0,chemistry,"for his investigations on carotenoids, flavins and vitamins A and B2"
237,Sir Robert,Robinson,09/13/1886,United Kingdom,"Rufford, near Chesterfield",1947.0,chemistry,"for his investigations on plant products of biological importance, especially the alkaloids"
238,Heike,Kamerlingh Onnes,09/21/1853,the Netherlands,Groningen,1913.0,physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
239,Mikhail Sergeyevich,Gorbachev,3/2/1931,USSR (now Russia),Privolnoye,1990.0,peace,for his leading role in the peace process which today characterizes important parts of the international community
240,Liu,Xiaobo,12/28/1955,China,China,2010.0,peace,for his long and non-violent struggle for fundamental human rights in China
241,Juan Ram„n,Jim_nez,12/24/1881,Spain,Moguer,1956.0,literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"
242,Salvatore,Quasimodo,8/19/1901,Italy,Modica,1959.0,literature,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"
243,Sir Winston Leonard Spencer,Churchill,11/30/1874,United Kingdom,Woodstock,1953.0,literature,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
244,Ernest Miller,Hemingway,07/21/1899,USA,"Oak Park, IL",1954.0,literature,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"
245,Paul,Sabatier,11/05/1854,France,Carcassonne,1912.0,chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
246,Charles Thomson Rees,Wilson,02/14/1869,Scotland,Glencorse,1927.0,physics,for his method of making the paths of electrically charged particles visible by condensation of vapour
247,Gabriel,Lippmann,08/16/1845,Luxembourg,Hollerich,1908.0,physics,for his method of reproducing colours photographically based on the phenomenon of interference
248,Willard Frank,Libby,12/17/1908,USA,"Grand Valley, CO",1960.0,chemistry,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"
249,Knut Pedersen,Hamsun,08/04/1859,Norway,Lom,1920.0,literature,"for his monumental work, <I>Growth of the Soil</I>"
250,Yasunari,Kawabata,06/11/1899,Japan,Osaka,1968.0,literature,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"
251,Gabriel,GarcÍa Mˆrquez,3/6/1927,Colombia,Aracataca,1982.0,literature,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"
252,William,Golding,9/19/1911,United Kingdom,St. Columb Minor,1983.0,literature,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
253,Albert Abraham,Michelson,12/19/1852,Prussia (now Poland),Strelno (now Strzelno),1907.0,physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
254,Robert Burns,Woodward,4/10/1917,USA,"Boston, MA",1965.0,chemistry,for his outstanding achievements in the art of organic synthesis
255,Thomas Stearns,Eliot,09/26/1888,USA,"St. Louis, MO",1948.0,literature,"for his outstanding, pioneer contribution to present-day poetry"
256,Jack S.,Kilby,11/8/1923,USA,"Jefferson City, MO",2000.0,physics,for his part in the invention of the integrated circuit
257,Franco,Modigliani,6/18/1918,Italy,Rome,1985.0,economics,for his pioneering analyses of saving and of financial markets
258,Maurice,Allais,5/31/1911,France,Paris,1988.0,economics,for his pioneering contributions to the theory of markets and efficient utilization of resources
259,Herbert A.,Simon,6/15/1916,USA,"Milwaukee, WI",1978.0,economics,for his pioneering research into the decision-making process within economic organizations
260,Robert,Hofstadter,2/5/1915,USA,"New York, NY",1961.0,physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
261,Lev Davidovich,Landau,1/22/1908,Russian Empire (now Azerbaijan),Baku,1962.0,physics,"for his pioneering theories for condensed matter, especially liquid helium"
262,Jaroslav,Seifert,9/23/1901,Austria-Hungary (now Czech Republic),Prague,1984.0,literature,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
263,Odysseus,Elytis,11/2/1911,Crete (now Greece),Irˆklion,1979.0,literature,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"
264,William,Faulkner,09/25/1897,USA,"New Albany, MS",1949.0,literature,for his powerful and artistically unique contribution to the modern American novel
265,Polykarp,Kusch,1/26/1911,Germany,Blankenburg,1955.0,physics,for his precision determination of the magnetic moment of the electron
266,Hideki,Yukawa,1/23/1907,Japan,Tokyo,1949.0,physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
267,Hideki,Yukawa,1/23/1907,Japan,Tokyo,1949.0,physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
268,Shmuel Yosef,Agnon,07/17/1888,Austria-Hungary (now Ukraine),Buczacz (now Buchach),1966.0,literature,for his profoundly characteristic narrative art with motifs from the life of the Jewish people
269,John,Steinbeck,2/27/1902,USA,"Salinas, CA",1962.0,literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"
270,Artturi Ilmari,Virtanen,01/15/1895,Russian Empire (now Finland),Helsinki,1945.0,chemistry,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method"
271,Linus Carl,Pauling,2/28/1901,USA,"Portland, OR",1954.0,chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
272,Vladimir,Prelog,7/23/1906,Austria-Hungary (now Bosnia and Herzegovina),Sarajevo,1975.0,chemistry,for his research into the stereochemistry of organic molecules and reactions
273,Arne Wilhelm Kaurin,Tiselius,8/10/1902,Sweden,Stockholm,1948.0,chemistry,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins"
274,Melvin,Calvin,4/8/1911,USA,"St. Paul, MN",1961.0,chemistry,for his research on the carbon dioxide assimilation in plants
275,Rudolf Ludwig,M_ssbauer,1/31/1929,Germany,Munich,1961.0,physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
276,Hans,Fischer,07/27/1881,Germany,Hoechst,1930.0,chemistry,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
277,Richard Martin,Willst_tter,08/13/1872,Germany,Karlsruhe,1915.0,chemistry,"for his researches on plant pigments, especially chlorophyll"
278,Isidor Isaac,Rabi,07/29/1898,Austria-Hungary (now Poland),Rymanow,1944.0,physics,for his resonance method for recording the magnetic properties of atomic nuclei
279,George J.,Stigler,1/17/1911,USA,"Renton, WA",1982.0,economics,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"
280,Niels Henrik David,Bohr,10/07/1885,Denmark,Copenhagen,1922.0,physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them
281,Albert,Einstein,03/14/1879,Germany,Ulm,1921.0,physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
282,Gerhard,Ertl,10/10/1936,Germany,Bad Cannstatt,2007.0,chemistry,for his studies of chemical processes on solid surfaces
283,Roger D.,Kornberg,4/24/1947,USA,"St. Louis, MO",2006.0,chemistry,for his studies of the molecular basis of eukaryotic transcription
284,Ahmed H.,Zewail,2/26/1946,Egypt,Damanhur,1999.0,chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy
285,William N.,Lipscomb,12/9/1919,USA,"Cleveland, OH",1976.0,chemistry,for his studies on the structure of boranes illuminating problems of chemical bonding
286,William Alfred,Fowler,8/9/1911,USA,"Pittsburgh, PA",1983.0,physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe
287,Brian David,Josephson,1/4/1940,United Kingdom,Cardiff,1973.0,physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
288,Subramanyan,Chandrasekhar,10/19/1910,India (now Pakistan),Lahore,1983.0,physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars
289,Kenneth G.,Wilson,6/8/1936,USA,"Waltham, MA",1982.0,physics,for his theory for critical phenomena in connection with phase transitions
290,Karl Adolph,Gjellerup,06/02/1857,Denmark,Roholte,1917.0,literature,"for his varied and rich poetry, which is inspired by lofty ideals"
291,Sinclair,Lewis,02/07/1885,USA,"Sauk Centre, MN",1930.0,literature,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"
292,Halld„r Kiljan,Laxness,4/23/1902,Iceland,Reykjavik,1955.0,literature,for his vivid epic power which has renewed the great narrative art of Iceland
293,Miguel Angel,Asturias,10/19/1899,Guatemala,Guatemala City,1967.0,literature,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"
294,Kim,Dae-jung,12/3/1925,Korea (now South Korea),Mokpo,2000.0,peace,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"
295,Oscar,Arias Sanchez,9/13/1941,Costa Rica,Heredia,1987.0,peace,"for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year"
296,Vincent,du Vigneaud,5/18/1901,USA,"Chicago, IL",1955.0,chemistry,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"
297,Richard,Kuhn,12/3/1900,Austria-Hungary (now Austria),Vienna,1938.0,chemistry,for his work on carotenoids and vitamins
298,Richard,Kuhn,12/3/1900,Austria-Hungary (now Austria),Vienna,1938.0,chemistry,for his work on carotenoids and vitamins
299,Philipp Eduard Anton,von Lenard,06/07/1862,Hungary (now Slovakia),Pressburg (now Bratislava),1905.0,physics,for his work on cathode rays
300,K. Barry,Sharpless,4/28/1941,USA,"Philadelphia, PA",2001.0,chemistry,for his work on chirally catalysed oxidation reactions
301,The (Theodor),Svedberg,08/30/1884,Sweden,Fler_ng,1926.0,chemistry,for his work on disperse systems
302,Ronald,Ross,05/13/1857,India,Almora,1902.0,medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
303,Lord (Alexander R.),Todd,10/2/1907,Scotland,Glasgow,1957.0,chemistry,for his work on nucleotides and nucleotide co-enzymes
304,Leopold,Ruzicka,09/13/1887,Austria-Hungary (now Croatia),Vukovar,1939.0,chemistry,for his work on polymethylenes and higher terpenes
305,Christian B.,Anfinsen,3/26/1916,USA,"Monessen, PA",1972.0,chemistry,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"
306,Emil Adolf,von Behring,03/15/1854,Prussia (now Poland),Hansdorf (now Jankowa &#379;aga&#324;ska),1901.0,medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
307,Adolf Friedrich Johann,Butenandt,3/24/1903,Germany,Bremerhaven-Lehe,1939.0,chemistry,for his work on sex hormones
308,Adolf Friedrich Johann,Butenandt,3/24/1903,Germany,Bremerhaven-Lehe,1939.0,chemistry,for his work on sex hormones
309,Allvar,Gullstrand,06/05/1862,Sweden,Landskrona,1911.0,medicine,for his work on the dioptrics of the eye
310,Jean Baptiste,Perrin,09/30/1870,France,Lille,1926.0,physics,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"
311,Robert Andrews,Millikan,03/22/1868,USA,"Morrison, IL",1923.0,physics,for his work on the elementary charge of electricity and on the photoelectric effect
312,Johannes Diderik,van der Waals,11/23/1837,the Netherlands,Leiden,1910.0,physics,for his work on the equation of state for gases and liquids
313,Henry,Taube,11/30/1915,Canada,Neudorf,1983.0,chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes"
314,Robert,Bˆrˆny,04/22/1876,Austria,Vienna,1914.0,medicine,for his work on the physiology and pathology of the vestibular apparatus
315,Emil Theodor,Kocher,08/25/1841,Switzerland,Berne,1909.0,medicine,"for his work on the physiology, pathology and surgery of the thyroid gland"
316,Sir Chandrasekhara Venkata,Raman,11/07/1888,India,Tiruchirappalli,1930.0,physics,for his work on the scattering of light and for the discovery of the effect named after him
317,John Warcup,Cornforth,9/7/1917,Australia,Sydney,1975.0,chemistry,for his work on the stereochemistry of enzyme-catalyzed reactions
318,Frederick,Sanger,8/13/1918,United Kingdom,Rendcombe,1958.0,chemistry,"for his work on the structure of proteins, especially that of insulin"
319,Owen Willans,Richardson,04/26/1879,United Kingdom,Dewsbury,1928.0,physics,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
320,George,de Hevesy,08/01/1885,Austria-Hungary (now Hungary),Budapest,1943.0,chemistry,for his work on the use of isotopes as tracers in the study of chemical processes
321,Charles Jules Henri,Nicolle,09/21/1866,France,Rouen,1928.0,medicine,for his work on typhus
322,George Bernard,Shaw,07/26/1856,Ireland,Dublin,1925.0,literature,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"
323,Jean-Paul,Sartre,6/21/1905,France,Paris,1964.0,literature,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"
324,Heinrich,B_ll,12/21/1917,Germany,Cologne,1972.0,literature,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
325,Samuel,Beckett,4/13/1906,Ireland,Dublin,1969.0,literature,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"
326,Octavio,Paz,3/31/1914,Mexico,Mexico City,1990.0,literature,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
327,Aziz,Sancar,9/8/1946,Turkey,Savur,2015.0,chemistry,for mechanistic studies of DNA repair
328,Paul,Modrich,6/13/1946,USA,"Raton, NM",2015.0,chemistry,for mechanistic studies of DNA repair
329,Paul,Modrich,6/13/1946,USA,"Raton, NM",2015.0,chemistry,for mechanistic studies of DNA repair
330,Tomas,Lindahl,1/28/1938,Sweden,Stockholm,2015.0,chemistry,for mechanistic studies of DNA repair
331,Tomas,Lindahl,1/28/1938,Sweden,Stockholm,2015.0,chemistry,for mechanistic studies of DNA repair
332,Clive W.J.,Granger,9/4/1934,United Kingdom,Swansea,2003.0,economics,for methods of analyzing economic time series with common trends (cointegration)
333,Robert F.,Engle III,11/10/1942,USA,"Syracuse, NY",2003.0,economics,for methods of analyzing economic time series with time-varying volatility (ARCH)
334,Akira,Suzuki,9/12/1930,Japan,Mukawa,2010.0,chemistry,for palladium-catalyzed cross couplings in organic synthesis
335,Ei-ichi,Negishi,7/14/1935,China,Changchun,2010.0,chemistry,for palladium-catalyzed cross couplings in organic synthesis
336,Richard F.,Heck,8/15/1931,USA,"Springfield, MA",2010.0,chemistry,for palladium-catalyzed cross couplings in organic synthesis
337,Raymond,Davis Jr.,10/14/1914,USA,"Washington, DC",2002.0,physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
338,Masatoshi,Koshiba,9/19/1926,Japan,Toyohashi,2002.0,physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
339,Riccardo,Giacconi,10/6/1931,Italy,Genoa,2002.0,physics,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"
340,Alexei A.,Abrikosov,6/25/1928,USSR (now Russia),Moscow,2003.0,physics,for pioneering contributions to the theory of superconductors and superfluids
341,Vitaly L.,Ginzburg,10/4/1916,Russia,Moscow,2003.0,physics,for pioneering contributions to the theory of superconductors and superfluids
342,Anthony J.,Leggett,3/26/1938,United Kingdom,London,2003.0,physics,for pioneering contributions to the theory of superconductors and superfluids
343,Roderick,MacKinnon,2/19/1956,USA,"Burlington, MA",2003.0,chemistry,for structural and mechanistic studies of ion channels
344,Roderick,MacKinnon,2/19/1956,USA,"Burlington, MA",2003.0,chemistry,for structural and mechanistic studies of ion channels
345,Robert J.,Lefkowitz,4/15/1943,USA,"New York, NY",2012.0,chemistry,for studies of G-protein-coupled receptors
346,Brian K.,Kobilka,5/30/1955,USA,"Little Falls, MN",2012.0,chemistry,for studies of G-protein-coupled receptors
347,Robert J.,Lefkowitz,4/15/1943,USA,"New York, NY",2012.0,chemistry,for studies of G-protein-coupled receptors
348,Thomas A.,Steitz,8/23/1940,USA,"Milwaukee, WI",2009.0,chemistry,for studies of the structure and function of the ribosome
349,Thomas A.,Steitz,8/23/1940,USA,"Milwaukee, WI",2009.0,chemistry,for studies of the structure and function of the ribosome
350,Carl E.,Wieman,3/26/1951,USA,"Corvallis, OR",2001.0,physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
351,Eric A.,Cornell,12/19/1961,USA,"Palo Alto, CA",2001.0,physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
352,Wolfgang,Ketterle,10/21/1957,West Germany (now Germany),Heidelberg,2001.0,physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
353,Patrick,Modiano,7/30/1945,France,Paris,2014.0,literature,for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation
354,Mikhail Aleksandrovich,Sholokhov,5/24/1905,Russia,Veshenskaya,1965.0,literature,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"
355,Roger,Martin du Gard,03/23/1881,France,Neuilly-sur-Seine,1937.0,literature,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>
356,Fabian,Lagerkvist,05/23/1891,Sweden,Voxj,1951.0,literature,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
357,Walther,Bothe,01/08/1891,Germany,Oranienburg,1954.0,physics,for the coincidence method and his discoveries made therewith
358,Walther,Bothe,01/08/1891,Germany,Oranienburg,1954.0,physics,for the coincidence method and his discoveries made therewith
359,Lawrence R.,Klein,9/14/1920,USA,"Omaha, NE",1980.0,economics,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
360,Werner Karl,Heisenberg,12/5/1901,Germany,Worzburg,1932.0,physics,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"
361,Francois,Mauriac,10/11/1885,France,Bordeaux,1952.0,literature,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
362,Frederick,Reines,3/16/1918,USA,"Paterson, NJ",1995.0,physics,for the detection of the neutrino
363,Johann,Deisenhofer,9/30/1943,Germany,Zusamaltheim,1988.0,chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
364,Hartmut,Michel,7/18/1948,West Germany (now Germany),Ludwigsburg,1988.0,chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
365,Robert,Huber,2/20/1937,Germany,Munich,1988.0,chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
366,Johann,Deisenhofer,9/30/1943,Germany,Zusamaltheim,1988.0,chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre
367,Godfrey N.,Hounsfield,8/28/1919,United Kingdom,Newark,1979.0,medicine,for the development of computer assisted tomography
368,Allan M.,Cormack,2/23/1924,South Africa,Johannesburg,1979.0,medicine,for the development of computer assisted tomography
369,Robert G.,Edwards,9/27/1925,United Kingdom,Batley,2010.0,medicine,for the development of in vitro fertilization
370,Martin,Karplus,3/15/1930,Austria,Vienna,2013.0,chemistry,for the development of multiscale models for complex chemical systems
371,Arieh,Warshel,11/20/1940,British Mandate of Palestine (now Israel),Kibbutz Sde-Nahum,2013.0,chemistry,for the development of multiscale models for complex chemical systems
372,Michael,Levitt,5/9/1947,South Africa,Pretoria,2013.0,chemistry,for the development of multiscale models for complex chemical systems
373,Martin,Karplus,3/15/1930,Austria,Vienna,2013.0,chemistry,for the development of multiscale models for complex chemical systems
374,Bertram N.,Brockhouse,7/15/1918,Canada,"Lethbridge, Alberta",1994.0,physics,for the development of neutron spectroscopy
375,Eric,Betzig,1/13/1960,USA,"Ann Arbor, MI",2014.0,chemistry,for the development of super-resolved fluorescence microscopy
376,Stefan W.,Hell,12/23/1962,Romania,Arad,2014.0,chemistry,for the development of super-resolved fluorescence microscopy
377,William E.,Moerner,6/24/1953,USA,"Pleasanton, CA",2014.0,chemistry,for the development of super-resolved fluorescence microscopy
378,Wassily,Leontief,8/5/1906,Russia,St. Petersburg,1973.0,economics,for the development of the input-output method and for its application to important economic problems
379,Wolfgang,Paul,8/10/1913,Germany,Lorenzkirch,1989.0,physics,for the development of the ion trap technique
380,Hans G.,Dehmelt,9/9/1922,Prussia (now Germany),G_rlitz,1989.0,physics,for the development of the ion trap technique
381,Richard R.,Schrock,1/4/1945,USA,"Berne, IN",2005.0,chemistry,for the development of the metathesis method in organic synthesis
382,Robert H.,Grubbs,2/27/1942,USA,"Possum Trot, KY",2005.0,chemistry,for the development of the metathesis method in organic synthesis
383,Yves,Chauvin,10/10/1930,Belgium,Menin,2005.0,chemistry,for the development of the metathesis method in organic synthesis
384,Clifford G.,Shull,9/23/1915,USA,"Pittsburgh, PA",1994.0,physics,for the development of the neutron diffraction technique
385,Alan G.,MacDiarmid,4/14/1927,New Zealand,Masterton,2000.0,chemistry,for the discovery and development of conductive polymers
386,Alan J.,Heeger,1/22/1936,USA,"Sioux City, IA",2000.0,chemistry,for the discovery and development of conductive polymers
387,Hideki,Shirakawa,8/20/1936,Japan,Tokyo,2000.0,chemistry,for the discovery and development of conductive polymers
388,Alfred,Kastler,5/3/1902,Germany (now France),Guebwiller,1966.0,physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms
