id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
1393,Mystery Express,3.0,5.0,90.0,2010.0,"Action Point Allowance System, Hand Management, Memory, Trading, Variable Player Powers","Deduction, Murder/Mystery","Antoine Bauza, Serge Laget",https://boardgamegeek.com/boardgame/65907/mystery-express
1394,Caesar & Cleopatra,2.0,2.0,60.0,1997.0,"Area Control / Area Influence, Hand Management, Set Collection","Ancient, Bluffing, Card Game",Wolfgang Lüdtke,https://boardgamegeek.com/boardgame/132/caesar-cleopatra
1395,Le Fantôme de l'Opéra,2.0,2.0,30.0,2013.0,"Grid Movement, Variable Player Powers","Deduction, Novel-based","Bruno Cathala, Ludovic Maublanc",https://boardgamegeek.com/boardgame/145645/le-fantome-de-lopera
1396,Pick Picknic,2.0,6.0,20.0,2001.0,"Dice Rolling, Hand Management, Simultaneous Action Selection","Animals, Bluffing, Card Game, Children's Game, Negotiation",Stefan Dorra,https://boardgamegeek.com/boardgame/2569/pick-picknic
1397,Noblemen,3.0,5.0,120.0,2012.0,"Card Drafting, Tile Placement","Medieval, Territory Building",Dwight Sullivan,https://boardgamegeek.com/boardgame/128931/noblemen
1398,Famiglia,2.0,2.0,30.0,2010.0,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Mafia",Friedemann Friese,https://boardgamegeek.com/boardgame/81453/famiglia
1399,Ghost Fightin' Treasure Hunters,2.0,4.0,30.0,2013.0,"Co-operative Play, Dice Rolling, Roll / Spin and Move","Adventure, Children's Game, Fantasy",Brian Yu,https://boardgamegeek.com/boardgame/146312/ghost-fightin-treasure-hunters
1400,Rhino Hero: Super Battle,2.0,4.0,20.0,2017.0,Dice Rolling,"Action / Dexterity, Animals, Children's Game","Scott Frisco, Steven Strumpf",https://boardgamegeek.com/boardgame/218333/rhino-hero-super-battle
1401,Palazzo,2.0,4.0,60.0,2005.0,"Auction/Bidding, Hand Management, Set Collection",Renaissance,Reiner Knizia,https://boardgamegeek.com/boardgame/15318/palazzo
1402,Industrial Waste,2.0,4.0,60.0,2001.0,"Auction/Bidding, Card Drafting, Hand Management","Economic, Environmental, Industry / Manufacturing",Jürgen Strohm,https://boardgamegeek.com/boardgame/2476/industrial-waste
1403,Friday the 13th,3.0,6.0,30.0,2005.0,Hand Management,Card Game,Reiner Knizia,https://boardgamegeek.com/boardgame/17025/friday-13th
1404,Viral,2.0,5.0,90.0,2017.0,"Area Control / Area Influence, Area Movement, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Take That","Humor, Medical","Gil d'Orey, Antonio Sousa Lara",https://boardgamegeek.com/boardgame/194690/viral
1405,Heroes Wanted,1.0,5.0,45.0,2014.0,"Dice Rolling, Grid Movement, Hand Management, Pick-up and Deliver, Variable Player Powers","Adventure, Comic Book / Strip, Fighting","Travis R. Chance, Nick Little (I)",https://boardgamegeek.com/boardgame/153097/heroes-wanted
1406,Sentient,2.0,4.0,60.0,2017.0,"Area Control / Area Influence, Card Drafting, Dice Rolling, Set Collection","Industry / Manufacturing, Science Fiction",J. Alex Kevern,https://boardgamegeek.com/boardgame/223855/sentient
1407,DreadBall: The Futuristic Sports Game,2.0,2.0,90.0,2012.0,"Dice Rolling, Grid Movement, Variable Player Powers","Miniatures, Science Fiction, Sports",Jake Thornton,https://boardgamegeek.com/boardgame/129731/dreadball-futuristic-sports-game
1408,Key to the City: London,2.0,6.0,120.0,2016.0,"Auction/Bidding, Modular Board, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Territory Building","Sebastian Bleasdale, Richard Breese",https://boardgamegeek.com/boardgame/205507/key-city-london
1409,Mondo,1.0,4.0,30.0,2011.0,"Pattern Building, Tile Placement","Animals, Environmental, Puzzle, Real-time",Michael Schacht,https://boardgamegeek.com/boardgame/91523/mondo
1410,Escape from Colditz,2.0,6.0,180.0,1973.0,"Card Drafting, Roll / Spin and Move, Simulation","Adventure, World War II","Bob Brechin, Brian Degas, Major P.R. Reid M.B.E., M.C.",https://boardgamegeek.com/boardgame/715/escape-colditz
1411,Warhammer Quest: Silver Tower,2.0,4.0,120.0,2016.0,"Co-operative Play, Dice Rolling, Modular Board, Role Playing, Storytelling, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures","James M. Hewitt, (Uncredited)",https://boardgamegeek.com/boardgame/197572/warhammer-quest-silver-tower
1412,Labyrinth,2.0,4.0,20.0,1986.0,"Modular Board, Point to Point Movement, Route/Network Building, Tile Placement","Children's Game, Maze, Puzzle",Max J. Kobbert,https://boardgamegeek.com/boardgame/1219/labyrinth
1413,Click Clack Lumberjack,2.0,7.0,10.0,2008.0,none,"Action / Dexterity, Children's Game",Justin Oh,https://boardgamegeek.com/boardgame/39206/click-clack-lumberjack
1414,The Settlers of the Stone Age,3.0,4.0,90.0,2002.0,"Dice Rolling, Route/Network Building, Trading","Civilization, Negotiation, Prehistoric",Klaus Teuber,https://boardgamegeek.com/boardgame/4394/settlers-stone-age
1415,Carcassonne: Wheel of Fortune,2.0,5.0,30.0,2009.0,"Area Control / Area Influence, Tile Placement","City Building, Medieval, Territory Building",Klaus-Jürgen Wrede,https://boardgamegeek.com/boardgame/45748/carcassonne-wheel-fortune
1416,Robo Rally,2.0,6.0,120.0,2016.0,"Action / Movement Programming, Grid Movement, Modular Board, Simultaneous Action Selection","Miniatures, Racing, Science Fiction",Richard Garfield,https://boardgamegeek.com/boardgame/216201/robo-rally
1417,Lovecraft Letter,2.0,6.0,15.0,2017.0,"Hand Management, Player Elimination","Card Game, Deduction, Fantasy, Horror",Seiji Kanai,https://boardgamegeek.com/boardgame/198740/lovecraft-letter
1418,Battlestations,2.0,8.0,240.0,2004.0,"Co-operative Play, Dice Rolling, Hex-and-Counter, Role Playing",Science Fiction,Jeff Siadek,https://boardgamegeek.com/boardgame/12350/battlestations
1419,7 Ages,2.0,7.0,480.0,2004.0,"Area Movement, Simulation, Variable Player Powers","Civilization, Wargame",Harry Rowland,https://boardgamegeek.com/boardgame/3870/7-ages
1420,FAB: The Bulge,2.0,2.0,240.0,2008.0,"Action Point Allowance System, Area Movement, Chit-Pull System, Dice Rolling, Secret Unit Deployment, Simulation","Wargame, World War II",Rick Young,https://boardgamegeek.com/boardgame/20133/fab-bulge
1421,Meeple Circus,2.0,5.0,45.0,2017.0,"Pattern Building, Press Your Luck","Action / Dexterity, Animals",Cédric Millet,https://boardgamegeek.com/boardgame/193214/meeple-circus
1422,Agricola: Family Edition,1.0,4.0,45.0,2016.0,Worker Placement,"Animals, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/205418/agricola-family-edition
1423,Kupferkessel Co.,2.0,2.0,30.0,2001.0,"Modular Board, Set Collection","Card Game, Fantasy",Günter Burkhardt,https://boardgamegeek.com/boardgame/2533/kupferkessel-co
1424,Gloom,2.0,5.0,60.0,2005.0,"Hand Management, Storytelling, Take That","Card Game, Horror, Humor",Keith Baker,https://boardgamegeek.com/boardgame/12692/gloom
1425,Mundus Novus,2.0,6.0,60.0,2011.0,"Card Drafting, Hand Management, Set Collection, Trading","Card Game, Economic, Nautical, Renaissance","Bruno Cathala, Serge Laget",https://boardgamegeek.com/boardgame/103686/mundus-novus
1426,Piece o' Cake,2.0,5.0,20.0,2008.0,Set Collection,none,Jeffrey D. Allers,https://boardgamegeek.com/boardgame/37371/piece-o-cake
1427,Super Dungeon Explore: Forgotten King,1.0,6.0,120.0,2015.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Modular Board, Partnerships, Variable Phase Order, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Miniatures","Chris Birkenhagen, John Cadice, Deke Stella",https://boardgamegeek.com/boardgame/156548/super-dungeon-explore-forgotten-king
1428,Masons,2.0,4.0,45.0,2006.0,"Dice Rolling, Hand Management","City Building, Medieval",Leo Colovini,https://boardgamegeek.com/boardgame/21791/masons
1429,When I Dream,4.0,10.0,40.0,2016.0,"Memory, Partnerships, Storytelling","Deduction, Party Game, Word Game",Chris Darsaklis,https://boardgamegeek.com/boardgame/198454/when-i-dream
1430,Metro,2.0,6.0,30.0,1997.0,"Route/Network Building, Tile Placement",Trains,Dirk Henn,https://boardgamegeek.com/boardgame/559/metro
1431,Word on the Street,2.0,10.0,20.0,2009.0,Partnerships,"Party Game, Word Game",Jack Degnan,https://boardgamegeek.com/boardgame/40990/word-street
1432,Agra,2.0,4.0,120.0,2017.0,"Area Control / Area Influence, Trading, Worker Placement",Industry / Manufacturing,Michael Keller (II),https://boardgamegeek.com/boardgame/230085/agra
1433,Age of War,2.0,6.0,30.0,2014.0,"Dice Rolling, Press Your Luck, Set Collection","Dice, Medieval",Reiner Knizia,https://boardgamegeek.com/boardgame/155695/age-war
1434,A la carte,2.0,4.0,30.0,1989.0,"Action Point Allowance System, Dice Rolling, Set Collection","Action / Dexterity, Party Game",Karl-Heinz Schmiel,https://boardgamegeek.com/boardgame/217/la-carte
1435,Catan: Junior,2.0,4.0,30.0,2012.0,"Dice Rolling, Route/Network Building","Children's Game, Dice, Nautical, Pirates",Klaus Teuber,https://boardgamegeek.com/boardgame/125921/catan-junior
1436,Star Wars Miniatures,2.0,2.0,60.0,2004.0,"Dice Rolling, Modular Board, Role Playing","Adventure, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction","Jeff Grubb, Peter Lee, Bill Slavicsek, Jonathan Tweet, Rob Watkins",https://boardgamegeek.com/boardgame/11229/star-wars-miniatures
1437,Catan: Portable Edition,3.0,4.0,90.0,2002.0,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading","City Building, Civilization, Negotiation",Klaus Teuber,https://boardgamegeek.com/boardgame/3972/catan-portable-edition
1438,Skat,3.0,3.0,30.0,1810.0,"Auction/Bidding, Partnerships, Trick-taking",Card Game,(Uncredited),https://boardgamegeek.com/boardgame/6819/skat
1439,Quests of Valeria,1.0,5.0,45.0,2017.0,"Card Drafting, Hand Management, Set Collection","Card Game, Fantasy",Isaias Vallejo,https://boardgamegeek.com/boardgame/187680/quests-valeria
1440,Khet: The Laser Game,2.0,2.0,20.0,2005.0,Grid Movement,"Abstract Strategy, Electronic","Luke Hooper, Michael Larson, Del Segura",https://boardgamegeek.com/boardgame/16991/khet-laser-game
1441,Divinare,2.0,4.0,30.0,2012.0,"Card Drafting, Hand Management, Memory","Bluffing, Card Game, Deduction",Brett J. Gilbert,https://boardgamegeek.com/boardgame/118418/divinare
1442,Red November,1.0,8.0,120.0,2008.0,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Time Track","Fantasy, Humor, Nautical","Bruno Faidutti, Jef Gontier",https://boardgamegeek.com/boardgame/36946/red-november
1443,Tempus,3.0,5.0,120.0,2006.0,"Auction/Bidding, Grid Movement, Hand Management, Modular Board","Civilization, Territory Building",Martin Wallace,https://boardgamegeek.com/boardgame/17161/tempus
1444,Merchants of Amsterdam,3.0,5.0,60.0,2000.0,"Area Control / Area Influence, Auction/Bidding, Tile Placement","Economic, Real-time, Renaissance",Reiner Knizia,https://boardgamegeek.com/boardgame/531/merchants-amsterdam
1445,Prosperity,2.0,4.0,60.0,2013.0,"Card Drafting, Tile Placement","Economic, Environmental","Sebastian Bleasdale, Reiner Knizia",https://boardgamegeek.com/boardgame/145203/prosperity
1446,Wings of War: The Dawn of World War II,2.0,6.0,45.0,2007.0,"Action / Movement Programming, Player Elimination, Simulation, Simultaneous Action Selection","Aviation / Flight, Card Game, Wargame, World War II","Andrea Angiolino, Pier Giorgio Paglia",https://boardgamegeek.com/boardgame/22532/wings-war-dawn-world-war-ii
1447,Giganten,3.0,4.0,90.0,1999.0,"Auction/Bidding, Commodity Speculation","Economic, Exploration, Industry / Manufacturing",Wilko Manz,https://boardgamegeek.com/boardgame/59/giganten
1448,Lost Legacy: Flying Garden,2.0,4.0,10.0,2014.0,"Hand Management, Memory, Player Elimination","Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi",https://boardgamegeek.com/boardgame/158340/lost-legacy-flying-garden
1449,Codenames: Deep Undercover,4.0,8.0,30.0,2016.0,"Memory, Partnerships, Pattern Recognition, Press Your Luck","Deduction, Mature / Adult, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,https://boardgamegeek.com/boardgame/205158/codenames-deep-undercover
1450,Legacy: Gears of Time,2.0,4.0,60.0,2012.0,"Area Control / Area Influence, Card Drafting, Hand Management, Modular Board","Card Game, Exploration, Science Fiction",Ben Harkins,https://boardgamegeek.com/boardgame/119781/legacy-gears-time
1451,"Red Winter: The Soviet Attack at Tolvajärvi, Finland ? 8-12 December 1939",2.0,2.0,720.0,2012.0,"Hex-and-Counter, Simulation","Wargame, World War II",Mark Mokszycki,https://boardgamegeek.com/boardgame/38786/red-winter-soviet-attack-tolvajarvi-finland-8-12-d
1452,Dungeon Command: Curse of Undeath,2.0,2.0,90.0,2012.0,"Action Point Allowance System, Area Movement, Campaign / Battle Card Driven, Hand Management","Card Game, Fantasy, Miniatures","Chris Dupuis, Peter Lee, Kevin Tatroe, Rodney Thompson",https://boardgamegeek.com/boardgame/124969/dungeon-command-curse-undeath
1453,Sorry! Sliders,1.0,4.0,30.0,2008.0,none,"Action / Dexterity, Children's Game",Craig Van Ness,https://boardgamegeek.com/boardgame/37196/sorry-sliders
1454,Santa Maria,1.0,4.0,90.0,2017.0,"Dice Rolling, Tile Placement, Variable Player Powers","Civilization, Farming","Eilif Svensson, Kristian Amundsen Østby",https://boardgamegeek.com/boardgame/229220/santa-maria
1455,Power Grid: The Card Game,2.0,6.0,60.0,2016.0,Auction/Bidding,"Card Game, Economic, Industry / Manufacturing",Friedemann Friese,https://boardgamegeek.com/boardgame/203780/power-grid-card-game
1456,The Battle for Hill 218,2.0,2.0,15.0,2007.0,"Hand Management, Take That","Card Game, Wargame, World War II",Darwin Kastle,https://boardgamegeek.com/boardgame/32484/battle-hill-218
1457,Mistfall,1.0,4.0,120.0,2015.0,"Co-operative Play, Deck / Pool Building, Hand Management, Modular Board, Variable Player Powers","Adventure, Card Game, Fantasy",B?a?ej Kubacki,https://boardgamegeek.com/boardgame/168274/mistfall
1458,Gemblo,2.0,6.0,30.0,2005.0,none,Abstract Strategy,Justin Oh,https://boardgamegeek.com/boardgame/19427/gemblo
1459,Merchants of the Middle Ages,2.0,4.0,120.0,1999.0,"Commodity Speculation, Pick-up and Deliver, Variable Player Powers","Economic, Medieval, Negotiation, Transportation","Wolfgang Kramer, Richard Ulrich",https://boardgamegeek.com/boardgame/348/merchants-middle-ages
1460,Liberty Roads,2.0,2.0,960.0,2009.0,"Dice Rolling, Hex-and-Counter, Simulation","Wargame, World War II","Yves le Quellec, Nicolas Rident",https://boardgamegeek.com/boardgame/39188/liberty-roads
1461,The Battle at Kemble's Cascade,1.0,5.0,75.0,2014.0,"Grid Movement, Hand Management, Partnerships, Simultaneous Action Selection","Science Fiction, Video Game Theme","Anders Tyrland, Olle Tyrland",https://boardgamegeek.com/boardgame/154301/battle-kembles-cascade
1462,Cathedral,2.0,2.0,20.0,1978.0,"Area Enclosure, Pattern Building, Pattern Recognition, Tile Placement",Abstract Strategy,Robert P. Moore,https://boardgamegeek.com/boardgame/7/cathedral
1463,Onward to Venus,2.0,5.0,120.0,2014.0,"Area Control / Area Influence, Dice Rolling, Hand Management, Point to Point Movement","Comic Book / Strip, Fighting, Science Fiction, Space Exploration, Transportation",Martin Wallace,https://boardgamegeek.com/boardgame/158109/onward-venus
1464,Incómodos Invitados,2.0,8.0,75.0,2016.0,"Card Drafting, Hand Management, Trading","Card Game, Deduction, Humor, Movies / TV / Radio theme, Murder/Mystery",Ron Gonzalo García,https://boardgamegeek.com/boardgame/188866/incomodos-invitados
1465,Greenland,1.0,3.0,120.0,2014.0,"Auction/Bidding, Dice Rolling, Simulation, Worker Placement","Card Game, Economic, Medieval, Negotiation","Phil Eklund, Philipp Klarmann",https://boardgamegeek.com/boardgame/156501/greenland
1466,Drakon (third edition),2.0,6.0,40.0,2006.0,"Grid Movement, Modular Board, Route/Network Building, Tile Placement, Variable Player Powers","Fantasy, Maze",Tom Jolly,https://boardgamegeek.com/boardgame/23107/drakon-third-edition
1467,Shadowrift,1.0,6.0,120.0,2012.0,"Co-operative Play, Deck / Pool Building, Hand Management","Card Game, Fantasy",Jeremy Anderson,https://boardgamegeek.com/boardgame/112092/shadowrift
1468,Byzantium,2.0,4.0,180.0,2005.0,"Area Control / Area Influence, Dice Rolling, Point to Point Movement, Worker Placement","Arabian, Medieval, Political, Wargame",Martin Wallace,https://boardgamegeek.com/boardgame/19348/byzantium
1469,TAMSK,2.0,2.0,20.0,1998.0,"Area Enclosure, Grid Movement","Abstract Strategy, Real-time",Kris Burm,https://boardgamegeek.com/boardgame/108/tamsk
1470,That's Life!,2.0,6.0,30.0,2005.0,"Dice Rolling, Modular Board, Roll / Spin and Move",Humor,"Michael Kiesling, Wolfgang Kramer",https://boardgamegeek.com/boardgame/17240/s-life
1471,Ace of Aces: Handy Rotary Series,2.0,2.0,20.0,1980.0,"Simulation, Simultaneous Action Selection","Aviation / Flight, Book, Wargame, World War I","Doug Kaufman, Alfred Leonardi",https://boardgamegeek.com/boardgame/798/ace-aces-handy-rotary-series
1472,Gunslinger,1.0,7.0,90.0,1982.0,"Action / Movement Programming, Hex-and-Counter, Modular Board, Simultaneous Action Selection, Variable Player Powers","American West, Fighting, Wargame",Richard Hamblen,https://boardgamegeek.com/boardgame/1044/gunslinger
1473,Conquest of Paradise,1.0,4.0,90.0,2007.0,"Area Control / Area Influence, Route/Network Building, Secret Unit Deployment, Simulation, Tile Placement","Ancient, Civilization, Exploration, Nautical",Kevin McPartland,https://boardgamegeek.com/boardgame/15954/conquest-paradise
1474,Ubongo Extreme,2.0,4.0,30.0,2007.0,Pattern Building,"Puzzle, Real-time",Grzegorz Rejchtman,https://boardgamegeek.com/boardgame/31479/ubongo-extreme
1475,Flat Top,2.0,2.0,360.0,1977.0,"Dice Rolling, Hex-and-Counter, Secret Unit Deployment","Aviation / Flight, Nautical, Wargame, World War II",S. Craig Taylor,https://boardgamegeek.com/boardgame/2529/flat-top
1476,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant,4.0,9.0,180.0,2017.0,"Auction/Bidding, Trading, Variable Player Powers","Economic, Negotiation, Science Fiction",TauCeti Deichmann,https://boardgamegeek.com/boardgame/202426/sidereal-confluence-trading-and-negotiation-elysia
1477,Full Metal Planète,2.0,4.0,90.0,1988.0,Action Point Allowance System,Science Fiction,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",https://boardgamegeek.com/boardgame/20/full-metal-planete
1478,Kory?,2.0,4.0,20.0,2013.0,"Set Collection, Simultaneous Action Selection",Card Game,Gary Kim,https://boardgamegeek.com/boardgame/140535/kory
1479,Spyfall 2,3.0,12.0,10.0,2017.0,"Acting, Memory, Role Playing, Voting","Bluffing, Deduction, Party Game, Spies/Secret Agents",Alexandr Ushan,https://boardgamegeek.com/boardgame/193308/spyfall-2
1480,Dragon's Gold,3.0,6.0,45.0,2001.0,"Hand Management, Set Collection, Trading","Card Game, Fantasy, Fighting, Negotiation",Bruno Faidutti,https://boardgamegeek.com/boardgame/1042/dragons-gold
1481,Happy Pigs,2.0,6.0,45.0,2013.0,Simultaneous Action Selection,"Animals, Economic, Farming",Kuraki Mura,https://boardgamegeek.com/boardgame/156138/happy-pigs
1482,The Name of the Rose,2.0,5.0,75.0,2008.0,"Secret Unit Deployment, Worker Placement","Bluffing, Deduction, Medieval, Murder/Mystery, Novel-based",Stefan Feld,https://boardgamegeek.com/boardgame/35488/name-rose
1483,Sea of Clouds,2.0,4.0,45.0,2016.0,"Card Drafting, Press Your Luck, Set Collection","Card Game, Pirates",Théo Rivière,https://boardgamegeek.com/boardgame/189052/sea-clouds
1484,Scrabble,2.0,4.0,90.0,1948.0,"Hand Management, Tile Placement",Word Game,Alfred Mosher Butts,https://boardgamegeek.com/boardgame/320/scrabble
1485,The Capitals,2.0,5.0,120.0,2013.0,"Action Point Allowance System, Card Drafting, Tile Placement","City Building, Economic",Thiago Boaventura,https://boardgamegeek.com/boardgame/119012/capitals
1486,Nusfjord,1.0,5.0,100.0,2017.0,Worker Placement,Economic,Uwe Rosenberg,https://boardgamegeek.com/boardgame/234277/nusfjord
1487,The Lord of the Rings Trading Card Game,2.0,6.0,45.0,2001.0,Hand Management,"Adventure, Card Game, Collectible Components, Fantasy, Movies / TV / Radio theme","Chuck Kallenbach, Tom Lischke, Mike Reynolds",https://boardgamegeek.com/boardgame/2603/lord-rings-trading-card-game
1488,Gang of Four,3.0,4.0,40.0,1990.0,"Hand Management, Set Collection, Trick-taking","Card Game, Political",Lee Yih,https://boardgamegeek.com/boardgame/3085/gang-four
1489,Carcassonne: Star Wars,2.0,5.0,35.0,2015.0,"Dice Rolling, Tile Placement","Movies / TV / Radio theme, Science Fiction",Klaus-Jürgen Wrede,https://boardgamegeek.com/boardgame/180564/carcassonne-star-wars
1490,Outpost,2.0,9.0,150.0,1991.0,Auction/Bidding,"Economic, Science Fiction","James Hlavaty, Timothy Moore",https://boardgamegeek.com/boardgame/1491/outpost
1491,Balderdash,2.0,6.0,60.0,1984.0,"Paper-and-Pencil, Voting","Bluffing, Party Game, Word Game","Laura Robinson, Paul Toyne",https://boardgamegeek.com/boardgame/163/balderdash
1492,VivaJava: The Coffee Game,3.0,8.0,90.0,2012.0,"Commodity Speculation, Memory, Simultaneous Action Selection, Trading, Variable Phase Order, Variable Player Powers, Worker Placement","Bluffing, Economic, Negotiation","T. C. Petty, III",https://boardgamegeek.com/boardgame/103660/vivajava-coffee-game
1493,Twixt,2.0,4.0,30.0,1962.0,Route/Network Building,Abstract Strategy,Alex Randolph,https://boardgamegeek.com/boardgame/949/twixt
1494,Würfel Bohnanza,2.0,5.0,45.0,2012.0,Dice Rolling,"Dice, Farming",Uwe Rosenberg,https://boardgamegeek.com/boardgame/111148/wurfel-bohnanza
1495,Phoenicia,2.0,5.0,90.0,2007.0,Auction/Bidding,"Ancient, Civilization, Economic",Thomas Lehmann,https://boardgamegeek.com/boardgame/28620/phoenicia
1496,Witch of Salem,2.0,4.0,60.0,2008.0,"Co-operative Play, Dice Rolling, Set Collection","Fantasy, Horror, Novel-based",Michael Rieneck,https://boardgamegeek.com/boardgame/38506/witch-salem
1497,Band of Brothers: Screaming Eagles,2.0,2.0,90.0,2011.0,"Dice Rolling, Hex-and-Counter, Modular Board","Wargame, World War II",Jim Krohn,https://boardgamegeek.com/boardgame/41429/band-brothers-screaming-eagles
1498,Dale of Merchants 2,2.0,4.0,40.0,2016.0,"Card Drafting, Deck / Pool Building, Dice Rolling, Hand Management, Set Collection, Take That","Animals, Card Game, Fantasy, Print & Play",Sami Laakso,https://boardgamegeek.com/boardgame/191597/dale-merchants-2
1499,P.I.,2.0,5.0,60.0,2012.0,"Card Drafting, Modular Board, Tile Placement","Deduction, Murder/Mystery, Spies/Secret Agents",Martin Wallace,https://boardgamegeek.com/boardgame/129050/pi
1500,Machiavelli,4.0,8.0,480.0,1977.0,"Area Movement, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Bluffing, Negotiation, Political, Renaissance, Wargame","S. Craig Taylor, James B. Wood",https://boardgamegeek.com/boardgame/286/machiavelli
1501,SeaFall,3.0,5.0,180.0,2016.0,"Campaign / Battle Card Driven, Grid Movement, Hand Management, Time Track, Trading, Variable Player Powers","Civilization, Exploration, Nautical","Rob Daviau, JR Honeycutt",https://boardgamegeek.com/boardgame/148261/seafall
1502,The Dresden Files Cooperative Card Game,1.0,5.0,30.0,2017.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Variable Player Powers","Card Game, Dice, Fantasy, Horror, Novel-based",Eric B. Vogel,https://boardgamegeek.com/boardgame/187273/dresden-files-cooperative-card-game
1503,Colonial: Europe's Empires Overseas,2.0,6.0,120.0,2011.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Simultaneous Action Selection","Civilization, Economic, Exploration, Political, Territory Building",Christophe Pont,https://boardgamegeek.com/boardgame/99392/colonial-europes-empires-overseas
1504,Animals on Board,2.0,4.0,30.0,2016.0,Set Collection,Animals,"Wolfgang Sentker, Ralf zur Linde",https://boardgamegeek.com/boardgame/191572/animals-board
1505,Priests of Ra,2.0,5.0,60.0,2009.0,"Auction/Bidding, Press Your Luck, Set Collection","Ancient, Mythology",Reiner Knizia,https://boardgamegeek.com/boardgame/59753/priests-ra
1506,Space Cadets: Away Missions,1.0,6.0,120.0,2015.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers","Adventure, Dice, Fighting, Miniatures, Science Fiction, Space Exploration","Dan Raspler, Al Rose",https://boardgamegeek.com/boardgame/124827/space-cadets-away-missions
1507,Hearts,3.0,7.0,30.0,1850.0,Trick-taking,"Card Game, Movies / TV / Radio theme",(Uncredited),https://boardgamegeek.com/boardgame/6887/hearts
1508,Dimension,1.0,4.0,30.0,2014.0,Pattern Building,"Puzzle, Real-time",Lauge Luchau,https://boardgamegeek.com/boardgame/153318/dimension
1509,DC Comics Deck-Building Game: Forever Evil,2.0,5.0,75.0,2014.0,Deck / Pool Building,"Card Game, Comic Book / Strip",Matt Hyra,https://boardgamegeek.com/boardgame/155463/dc-comics-deck-building-game-forever-evil
1510,Time's Up! Edición Amarilla,4.0,12.0,30.0,2008.0,"Acting, Memory, Partnerships","Humor, Party Game",Peter Sarrett,https://boardgamegeek.com/boardgame/38713/times-edicion-amarilla
1511,Flying Colors,1.0,4.0,240.0,2005.0,"Dice Rolling, Hex-and-Counter, Simulation","Age of Reason, American Revolutionary War, Napoleonic, Nautical, Wargame",Mike Nagel,https://boardgamegeek.com/boardgame/8730/flying-colors
1512,Storm over Arnhem,2.0,2.0,300.0,1981.0,"Area Movement, Area-Impulse","Wargame, World War II",Courtney F. Allen,https://boardgamegeek.com/boardgame/1423/storm-over-arnhem
1513,Anomia,3.0,6.0,30.0,2010.0,Pattern Recognition,"Party Game, Real-time, Trivia, Word Game",Andrew Innes,https://boardgamegeek.com/boardgame/67877/anomia
1514,Cargo Noir,2.0,5.0,90.0,2011.0,"Auction/Bidding, Set Collection, Worker Placement",Economic,Serge Laget,https://boardgamegeek.com/boardgame/90305/cargo-noir
1515,Dark Souls: The Board Game,1.0,4.0,120.0,2017.0,"Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers","Exploration, Fantasy, Medieval, Miniatures, Video Game Theme","David Carl, Alex Hall, Mat Hart, Richard Loxam",https://boardgamegeek.com/boardgame/197831/dark-souls-board-game
1516,The Fury of Dracula,2.0,4.0,180.0,1987.0,"Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers","Adventure, Deduction, Fighting, Horror, Novel-based",Stephen Hand,https://boardgamegeek.com/boardgame/936/fury-dracula
1517,River Dragons,2.0,6.0,30.0,2000.0,"Action / Movement Programming, Point to Point Movement, Simultaneous Action Selection","Abstract Strategy, Racing",Roberto Fraga,https://boardgamegeek.com/boardgame/634/river-dragons
1518,Heimlich & Co.,2.0,7.0,30.0,1984.0,Roll / Spin and Move,"Bluffing, Spies/Secret Agents",Wolfgang Kramer,https://boardgamegeek.com/boardgame/382/heimlich-co
1519,Star Wars Customizable Card Game,2.0,2.0,60.0,1995.0,"Area Control / Area Influence, Hand Management, Modular Board, Variable Player Powers","Card Game, Collectible Components, Movies / TV / Radio theme, Science Fiction","Tom Braunlich, Jerry Darcy, Chuck Kallenbach, Roland L. Tesh",https://boardgamegeek.com/boardgame/1270/star-wars-customizable-card-game
