id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,Picture
312,Lucas,Ken,107.0,2001.0,KY,House of Representative,4.0,Democrat,1998.0,Male,6.0,Caucasian,1.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/l000558_200.jpg
313,Lucas,Frank,107.0,2001.0,OK,House of Representative,6.0,Republican,1994.0,Male,6.0,Caucasian,5.0,0.0,1.0,1.0,0.0,https://www.congress.gov/img/member/114_rp_ok_3_lucas_frank_200.jpg
314,Lugar,Richard,107.0,2001.0,IN,Senate,0.0,Republican,1976.0,Male,10.0,Caucasian,21.0,7.0,3.0,1.0,1.0,https://www.congress.gov/img/member/l000504_200.jpg
315,Luther,Bill,107.0,2001.0,MN,House of Representative,6.0,Democrat,1994.0,Male,8.0,Caucasian,8.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/l000521_200.jpg
316,Lynch,Stephen,107.0,2001.0,MA,House of Representative,9.0,Democrat,2001.0,Male,10.0,Caucasian,6.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/l000562_200.jpg
317,Maloney,Carolyn,107.0,2001.0,NY,House of Representative,14.0,Democrat,1992.0,Female,31.0,Caucasian,45.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_ny_12_maloney_carolyn_200.jpg
318,Maloney,James,107.0,2001.0,CT,House of Representative,5.0,Democrat,1996.0,Male,6.0,Caucasian,10.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000090_200.jpg
319,Manzullo,Donald,107.0,2001.0,IL,House of Representative,16.0,Republican,1992.0,Male,20.0,Caucasian,20.0,3.0,4.0,3.0,1.0,https://www.congress.gov/img/member/m001138_200.jpg
320,Markey,Edward,107.0,2001.0,MA,House of Representative,7.0,Democrat,1976.0,Male,10.0,Caucasian,24.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000133_200.jpg
321,Mascara,Frank,107.0,2001.0,PA,House of Representative,20.0,Democrat,1994.0,Male,21.0,Caucasian,1.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000212_200.jpg
322,Matheson,Jim,107.0,2001.0,UT,House of Representative,2.0,Democrat,2000.0,Male,3.0,Caucasian,5.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/m001142_200.jpg
323,Matsui,Robert,107.0,2001.0,CA,House of Representative,5.0,Democrat,1978.0,Male,52.0,Asian-American,14.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000249_200.jpg
324,McCain,John,107.0,2001.0,AZ,Senate,0.0,Republican,1986.0,Male,6.0,Caucasian,45.0,10.0,11.0,5.0,0.0,https://www.congress.gov/img/member/m000303_200.jpg
325,McCarthy,Carolyn,107.0,2001.0,NY,House of Representative,4.0,Democrat,1996.0,Female,31.0,Caucasian,17.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/m000309_200.jpg
326,McCarthy,Karen,107.0,2001.0,MO,House of Representative,5.0,Democrat,1994.0,Female,9.0,Caucasian,17.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000316_200.jpg
327,McCollum,Betty,107.0,2001.0,MN,House of Representative,4.0,Democrat,2000.0,Female,8.0,Caucasian,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_mn_4_mccollum_betty_200.jpg
328,McConnell,Mitch,107.0,2001.0,KY,Senate,0.0,Republican,1984.0,Male,6.0,Caucasian,21.0,3.0,1.0,1.0,1.0,https://www.congress.gov/img/member/m000355_200.jpg
329,McCrery,Jim,107.0,2001.0,LA,House of Representative,4.0,Republican,1988.0,Male,7.0,Caucasian,20.0,2.0,2.0,1.0,1.0,https://www.congress.gov/img/member/m000388_200.jpg
330,McDermott,Jim,107.0,2001.0,WA,House of Representative,7.0,Democrat,1988.0,Male,9.0,Caucasian,14.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000404_200.jpg
331,McGovern,James,107.0,2001.0,MA,House of Representative,3.0,Democrat,1996.0,Male,10.0,Caucasian,12.0,0.0,2.0,2.0,2.0,https://www.congress.gov/img/member/m000312_200.jpg
332,McHugh,John,107.0,2001.0,NY,House of Representative,24.0,Republican,1992.0,Male,31.0,Caucasian,5.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000472_200.jpg
333,McInnis,Scott,107.0,2001.0,CO,House of Representative,3.0,Republican,1992.0,Male,6.0,Caucasian,28.0,4.0,5.0,2.0,0.0,https://www.congress.gov/img/member/m000477_200.jpg
334,McIntyre,Mike,107.0,2001.0,NC,House of Representative,7.0,Democrat,1996.0,Male,12.0,Caucasian,7.0,2.0,1.0,1.0,0.0,https://www.congress.gov/img/member/m000485_200.jpg
335,McKeon,Howard,107.0,2001.0,CA,House of Representative,25.0,Republican,1992.0,Male,52.0,Caucasian,10.0,1.0,3.0,1.0,0.0,https://www.congress.gov/img/member/m000508_200.jpg
336,McKinney,Cynthia,107.0,2001.0,GA,House of Representative,4.0,Democrat,1992.0,Female,11.0,African-American,18.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/m000523_200.jpg
337,McNulty,Michael,107.0,2001.0,NY,House of Representative,21.0,Democrat,1988.0,Male,31.0,Caucasian,11.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/m000590_200.jpg
338,Meehan,Martin,107.0,2001.0,MA,House of Representative,5.0,Democrat,1992.0,Male,10.0,Caucasian,7.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000627_200.jpg
339,Meek,Carrie,107.0,2001.0,FL,House of Representative,17.0,Democrat,1992.0,Female,23.0,African-American,9.0,2.0,3.0,2.0,2.0,https://www.congress.gov/img/member/m000628_200.jpg
340,Meeks,Gregory,107.0,2001.0,NY,House of Representative,6.0,Democrat,1998.0,Male,31.0,African-American,5.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m001137_200.jpg
341,Menendez,Robert,107.0,2001.0,NJ,House of Representative,13.0,Democrat,1992.0,Male,13.0,Latino/a,10.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/m000639_200.jpg
342,Mica,John,107.0,2001.0,FL,House of Representative,7.0,Republican,1992.0,Male,23.0,Caucasian,8.0,2.0,1.0,0.0,0.0,https://www.congress.gov/img/member/m000689_200.jpg
343,Mikulski,Barbara,107.0,2001.0,MD,Senate,0.0,Democrat,1986.0,Female,8.0,Caucasian,13.0,4.0,4.0,1.0,0.0,https://www.congress.gov/img/member/m000702_200.jpg
344,Millender-McDonald,Juanita,107.0,2001.0,CA,House of Representative,37.0,Democrat,1996.0,Female,52.0,African-American,17.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000714_200.jpg
345,Miller,George,107.0,2001.0,CA,House of Representative,7.0,Democrat,1974.0,Male,52.0,Caucasian,25.0,5.0,3.0,1.0,0.0,https://www.congress.gov/img/member/m000725_200.jpg
346,Miller,Gary,107.0,2001.0,CA,House of Representative,41.0,Republican,1998.0,Male,52.0,Caucasian,5.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/m001139_200.jpg
347,Miller,Jeff,107.0,2001.0,FL,House of Representative,1.0,Republican,2001.0,Male,23.0,Caucasian,6.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/m001144_200.jpg
348,Miller,Dan,107.0,2001.0,FL,House of Representative,13.0,Republican,1992.0,Male,23.0,Caucasian,5.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000720_200.jpg
349,Miller,Zell,107.0,2001.0,GA,Senate,0.0,Democrat,2000.0,Male,11.0,Caucasian,8.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/m001141_200.jpg
350,Mink,Patsy,107.0,2001.0,HI,House of Representative,2.0,Democrat,1990.0,Female,2.0,Asian-American,56.0,1.0,2.0,2.0,2.0,https://www.congress.gov/img/member/m000797_200.jpg
351,Moakley,John,107.0,2001.0,MA,House of Representative,9.0,Democrat,1972.0,Male,10.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000834_200.jpg
352,Mollohan,Alan,107.0,2001.0,WV,House of Representative,1.0,Democrat,1982.0,Male,3.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m000844_200.jpg
353,Moore,Dennis,107.0,2001.0,KS,House of Representative,3.0,Democrat,1998.0,Male,4.0,Caucasian,18.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m001140_200.jpg
354,Moran,James,107.0,2001.0,VA,House of Representative,8.0,Democrat,1990.0,Male,11.0,Caucasian,12.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/m000933_200.jpg
355,Moran,Jerry,107.0,2001.0,KS,House of Representative,1.0,Republican,1996.0,Male,4.0,Caucasian,22.0,4.0,4.0,4.0,1.0,https://www.congress.gov/img/member/m000934_200.jpg
356,Morella,Constance,107.0,2001.0,MD,House of Representative,8.0,Republican,1986.0,Female,8.0,Caucasian,36.0,5.0,5.0,5.0,3.0,https://www.congress.gov/img/member/m000941_200.jpg
357,Murkowski,Frank,107.0,2001.0,AK,Senate,0.0,Republican,1980.0,Male,1.0,Caucasian,33.0,11.0,11.0,6.0,1.0,https://www.congress.gov/img/member/m001085_200.jpg
358,Murray,Patty,107.0,2001.0,WA,Senate,0.0,Democrat,1992.0,Female,9.0,Caucasian,19.0,6.0,5.0,1.0,0.0,https://www.congress.gov/img/member/m001111_200.jpg
359,Murtha,John,107.0,2001.0,PA,House of Representative,12.0,Democrat,1974.0,Male,21.0,Caucasian,13.0,2.0,2.0,2.0,2.0,https://www.congress.gov/img/member/m001120_200.jpg
360,Myrick,Sue,107.0,2001.0,NC,House of Representative,9.0,Republican,1994.0,Female,12.0,Caucasian,33.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/m001134_200.jpg
361,Nadler,Jerrold,107.0,2001.0,NY,House of Representative,8.0,Democrat,1992.0,Male,31.0,Caucasian,31.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/114_rp_ny_10_nadler_jerrold_200.jpg
362,Napolitano,Grace,107.0,2001.0,CA,House of Representative,34.0,Democrat,1998.0,Female,52.0,Latino/a,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_ca_32_napolitano_grace_200.jpg
363,Neal,Richard,107.0,2001.0,MA,House of Representative,2.0,Democrat,1988.0,Male,10.0,Caucasian,19.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/n000015_200.jpg
364,Nelson,Ben,107.0,2001.0,NE,Senate,0.0,Democrat,2000.0,Male,3.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/111nelson_d_ne_200.jpg
365,Nelson,Bill,107.0,2001.0,FL,Senate,0.0,Democrat,2000.0,Male,23.0,Caucasian,24.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/n000032_200.jpg
366,Nethercutt,George,107.0,2001.0,WA,House of Representative,5.0,Republican,1994.0,Male,9.0,Caucasian,14.0,2.0,1.0,1.0,0.0,https://www.congress.gov/img/member/n000051_200.jpg
367,Ney,Robert,107.0,2001.0,OH,House of Representative,18.0,Republican,1994.0,Male,19.0,Caucasian,11.0,2.0,3.0,2.0,1.0,https://www.congress.gov/img/member/n000081_200.jpg
368,Nickles,Don,107.0,2001.0,OK,Senate,0.0,Republican,1980.0,Male,6.0,Caucasian,7.0,3.0,2.0,1.0,0.0,https://www.congress.gov/img/member/n000102_200.jpg
369,Northup,Anne,107.0,2001.0,KY,House of Representative,3.0,Republican,1996.0,Female,6.0,Caucasian,0.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/n000143_200.jpg
370,Norton,Eleanor,107.0,2001.0,DC,House of Representative,1.0,Democrat,1990.0,Female,1.0,African-American,24.0,3.0,3.0,3.0,3.0,https://www.congress.gov/img/member/114_dg_dc_norton_eleanor_200.jpg
371,Norwood,Charles,107.0,2001.0,GA,House of Representative,10.0,Republican,1994.0,Male,11.0,Caucasian,3.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/n000159_200.jpg
372,Nussle,Jim,107.0,2001.0,IA,House of Representative,2.0,Republican,1990.0,Male,5.0,Caucasian,17.0,1.0,2.0,1.0,1.0,https://www.congress.gov/img/member/n000172_200.jpg
373,Oberstar,James,107.0,2001.0,MN,House of Representative,8.0,Democrat,1974.0,Male,8.0,Caucasian,16.0,2.0,1.0,1.0,0.0,https://www.congress.gov/img/member/o000006_200.jpg
374,Obey,David,107.0,2001.0,WI,House of Representative,7.0,Democrat,1969.0,Male,9.0,Caucasian,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/o000007_200.jpg
375,Olver,John,107.0,2001.0,MA,House of Representative,1.0,Democrat,1991.0,Male,10.0,Caucasian,6.0,2.0,2.0,1.0,1.0,https://www.congress.gov/img/member/o000085_200.jpg
376,Ortiz,Solomon,107.0,2001.0,TX,House of Representative,27.0,Democrat,1982.0,Male,30.0,Latino/a,1.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/o000107_200.jpg
377,Osborne,Tom,107.0,2001.0,NE,House of Representative,3.0,Republican,2000.0,Male,3.0,Caucasian,6.0,2.0,2.0,1.0,0.0,https://www.congress.gov/img/member/o000165_200.jpg
378,Ose,Doug,107.0,2001.0,CA,House of Representative,3.0,Republican,1998.0,Male,52.0,Caucasian,10.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/o000164_200.jpg
379,Otter,C.,107.0,2001.0,ID,House of Representative,1.0,Republican,2000.0,Male,2.0,Caucasian,13.0,3.0,3.0,1.0,1.0,https://www.congress.gov/img/member/o000166_200.jpg
380,Owens,Major,107.0,2001.0,NY,House of Representative,11.0,Democrat,1982.0,Male,31.0,African-American,12.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/o000159_200.jpg
381,Oxley,Michael,107.0,2001.0,OH,House of Representative,4.0,Republican,1981.0,Male,19.0,Caucasian,10.0,5.0,6.0,6.0,3.0,https://www.congress.gov/img/member/o000163_200.jpg
382,Pallone,Frank,107.0,2001.0,NJ,House of Representative,6.0,Democrat,1988.0,Male,13.0,Caucasian,35.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000034_200.jpg
383,Pascrell,Bill,107.0,2001.0,NJ,House of Representative,8.0,Democrat,1996.0,Male,13.0,Caucasian,18.0,2.0,1.0,1.0,1.0,https://www.congress.gov/img/member/114_rp_nj_9_pascrell_bill_200.jpg
384,Pastor,Ed,107.0,2001.0,AZ,House of Representative,2.0,Democrat,1991.0,Male,6.0,Latino/a,5.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/p000099_200.jpg
385,Paul,Ron,107.0,2001.0,TX,House of Representative,14.0,Republican,1996.0,Male,30.0,Caucasian,53.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000583_200.jpg
386,Payne,Donald,107.0,2001.0,NJ,House of Representative,10.0,Democrat,1988.0,Male,13.0,African-American,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000149_200.jpg
387,Pelosi,Nancy,107.0,2001.0,CA,House of Representative,8.0,Democrat,1987.0,Female,52.0,Caucasian,6.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/114_rp_ca_12_pelosi_nancy_200.jpg
388,Pence,Mike,107.0,2001.0,IN,House of Representative,2.0,Republican,2000.0,Male,10.0,Caucasian,36.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000587_200.jpg
389,Peterson,Collin,107.0,2001.0,MN,House of Representative,7.0,Democrat,1990.0,Male,8.0,Caucasian,21.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000258_200.jpg
390,Peterson,John,107.0,2001.0,PA,House of Representative,5.0,Republican,1996.0,Male,21.0,Caucasian,6.0,3.0,1.0,1.0,0.0,https://www.congress.gov/img/member/h_peterson_john_20073196577_200.jpg
391,Petri,Thomas,107.0,2001.0,WI,House of Representative,6.0,Republican,1979.0,Male,9.0,Caucasian,19.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000265_200.jpg
392,Phelps,David,107.0,2001.0,IL,House of Representative,19.0,Democrat,1998.0,Male,20.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000584_200.jpg
393,Pickering,Charles,107.0,2001.0,MS,House of Representative,3.0,Republican,1996.0,Male,5.0,Caucasian,13.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000323_200.jpg
394,Pitts,Joseph,107.0,2001.0,PA,House of Representative,16.0,Republican,1996.0,Male,21.0,Caucasian,14.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000373_200.jpg
395,Platts,Todd,107.0,2001.0,PA,House of Representative,19.0,Republican,2000.0,Male,21.0,Caucasian,10.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000585_200.jpg
396,Pombo,Richard,107.0,2001.0,CA,House of Representative,11.0,Republican,1992.0,Male,52.0,Caucasian,13.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000419_200.jpg
397,Pomeroy,Earl,107.0,2001.0,ND,House of Representative,1.0,Democrat,1992.0,Male,1.0,Caucasian,10.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000422_200.jpg
398,Portman,Rob,107.0,2001.0,OH,House of Representative,2.0,Republican,1993.0,Male,19.0,Caucasian,19.0,5.0,6.0,5.0,4.0,https://www.congress.gov/img/member/p000449_200.jpg
399,Price,David,107.0,2001.0,NC,House of Representative,4.0,Democrat,1996.0,Male,12.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_nc_4_price_david_200.jpg
400,Pryce,Deborah,107.0,2001.0,OH,House of Representative,15.0,Republican,1992.0,Female,19.0,Caucasian,10.0,0.0,2.0,1.0,0.0,https://www.congress.gov/img/member/p000555_200.jpg
401,Putnam,Adam,107.0,2001.0,FL,House of Representative,12.0,Republican,2000.0,Male,23.0,Caucasian,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/p000586_200.jpg
402,Quinn,Jack,107.0,2001.0,NY,House of Representative,30.0,Republican,1992.0,Male,31.0,Caucasian,13.0,1.0,2.0,1.0,1.0,https://www.congress.gov/img/member/q000016_200.jpg
403,Radanovich,George,107.0,2001.0,CA,House of Representative,19.0,Republican,1994.0,Male,52.0,Caucasian,16.0,5.0,5.0,2.0,1.0,https://www.congress.gov/img/member/r000004_200.jpg
404,Rahall,Nick,107.0,2001.0,WV,House of Representative,3.0,Democrat,1976.0,Male,3.0,Caucasian,14.0,5.0,4.0,3.0,1.0,https://www.congress.gov/img/member/r000011_200.jpg
405,Ramstad,Jim,107.0,2001.0,MN,House of Representative,3.0,Republican,1990.0,Male,8.0,Caucasian,22.0,1.0,3.0,3.0,3.0,https://www.congress.gov/img/member/r000033_200.jpg
406,Rangel,Charles,107.0,2001.0,NY,House of Representative,15.0,Democrat,1970.0,Male,31.0,African-American,35.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000053_200.jpg
407,Reed,Jack,107.0,2001.0,RI,Senate,0.0,Democrat,1996.0,Male,2.0,Caucasian,31.0,2.0,2.0,2.0,1.0,https://www.congress.gov/img/member/r000122_200.jpg
408,Regula,Ralph,107.0,2001.0,OH,House of Representative,16.0,Republican,1972.0,Male,19.0,Caucasian,6.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/r000141_200.jpg
409,Rehberg,Denny,107.0,2001.0,MT,House of Representative,1.0,Republican,2000.0,Male,1.0,Caucasian,12.0,4.0,5.0,2.0,2.0,https://www.congress.gov/img/member/112_rp_mt_0_rehberg_denny_200.jpg
410,Reid,Harry,107.0,2001.0,NV,Senate,0.0,Democrat,1986.0,Male,2.0,Caucasian,40.0,14.0,9.0,4.0,2.0,https://www.congress.gov/img/member/r000146_200.jpg
411,Reyes,Silvestre,107.0,2001.0,TX,House of Representative,16.0,Democrat,1996.0,Male,30.0,Latino/a,13.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/r000170_200.jpg
412,Reynolds,Thomas,107.0,2001.0,NY,House of Representative,27.0,Republican,1998.0,Male,31.0,Caucasian,15.0,2.0,2.0,2.0,2.0,https://www.congress.gov/img/member/r000569_200.jpg
413,Riley,Bob,107.0,2001.0,AL,House of Representative,3.0,Republican,1996.0,Male,7.0,Caucasian,5.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/r000258_200.jpg
414,Rivers,Lynn,107.0,2001.0,MI,House of Representative,13.0,Democrat,1994.0,Female,16.0,Caucasian,17.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/r000281_200.jpg
415,Roberts,Pat,107.0,2001.0,KS,Senate,0.0,Republican,1996.0,Male,4.0,Caucasian,12.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000307_200.jpg
416,Rockefeller,John,107.0,2001.0,WV,Senate,0.0,Democrat,1984.0,Male,3.0,Caucasian,61.0,15.0,10.0,3.0,1.0,https://www.congress.gov/img/member/r000361_200.jpg
417,Rodriguez,Ciro,107.0,2001.0,TX,House of Representative,28.0,Democrat,1997.0,Male,30.0,Latino/a,6.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000568_200.jpg
418,Roemer,Tim,107.0,2001.0,IN,House of Representative,3.0,Democrat,1990.0,Male,10.0,Caucasian,7.0,2.0,1.0,1.0,1.0,https://www.congress.gov/img/member/r000385_200.jpg
419,Rogers,Harold,107.0,2001.0,KY,House of Representative,5.0,Republican,1980.0,Male,6.0,Caucasian,3.0,3.0,3.0,2.0,1.0,https://www.congress.gov/img/member/r000395_200.jpg
420,Rogers,Mike,107.0,2001.0,MI,House of Representative,8.0,Republican,2000.0,Male,16.0,Caucasian,11.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000572_200.jpg
421,Rohrabacher,Dana,107.0,2001.0,CA,House of Representative,45.0,Republican,1988.0,Male,52.0,Caucasian,11.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000409_200.jpg
422,Ros-Lehtinen,Ileana,107.0,2001.0,FL,House of Representative,18.0,Republican,1989.0,Female,23.0,Latino/a,8.0,1.0,1.0,1.0,0.0,https://www.congress.gov/img/member/r000435_200.jpg
423,Ross,Mike,107.0,2001.0,AR,House of Representative,4.0,Democrat,2000.0,Male,4.0,Caucasian,6.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/112_rp_ar_4_ross_mike_200.jpg
424,Rothman,Steven,107.0,2001.0,NJ,House of Representative,9.0,Democrat,1996.0,Male,13.0,Caucasian,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/r000462_200.jpg
425,Roukema,Marge,107.0,2001.0,NJ,House of Representative,5.0,Republican,1980.0,Female,13.0,Caucasian,27.0,3.0,3.0,2.0,0.0,https://www.congress.gov/img/member/r000465_200.jpg
426,Roybal-Allard,Lucille,107.0,2001.0,CA,House of Representative,33.0,Democrat,1992.0,Female,52.0,Latino/a,10.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_ca_40_roybalallard_lucille_200.jpg
427,Royce,Edward,107.0,2001.0,CA,House of Representative,39.0,Republican,1992.0,Male,52.0,Caucasian,12.0,1.0,2.0,2.0,1.0,https://www.congress.gov/img/member/r000487_200.jpg
428,Rush,Bobby,107.0,2001.0,IL,House of Representative,1.0,Democrat,1992.0,Male,20.0,African-American,7.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_il_1_rush_bobby_200.jpg
429,Ryan,Paul,107.0,2001.0,WI,House of Representative,1.0,Republican,1998.0,Male,9.0,Caucasian,7.0,0.0,1.0,0.0,0.0,https://www.congress.gov/img/member/r000570_200.jpg
430,Ryun,Jim,107.0,2001.0,KS,House of Representative,2.0,Republican,1996.0,Male,4.0,Caucasian,11.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/r000566_200.jpg
431,Sabo,Martin,107.0,2001.0,MN,House of Representative,5.0,Democrat,1978.0,Male,8.0,Caucasian,3.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s000005_200.jpg
432,Sanchez,Loretta,107.0,2001.0,CA,House of Representative,46.0,Democrat,1996.0,Female,52.0,Latino/a,9.0,0.0,1.0,1.0,1.0,https://www.congress.gov/img/member/s000030_200.jpg
433,Sanders,Bernard,107.0,2001.0,VT,House of Representative,1.0,Independent,1990.0,Male,1.0,Caucasian,22.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s000033_200.jpg
434,Sandlin,Max,107.0,2001.0,TX,House of Representative,1.0,Democrat,1996.0,Male,30.0,Caucasian,6.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s000044_200.jpg
435,Santorum,Rick,107.0,2001.0,PA,Senate,0.0,Republican,1994.0,Male,21.0,Caucasian,37.0,1.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s000059_200.jpg
436,Sarbanes,Paul,107.0,2001.0,MD,Senate,0.0,Democrat,1976.0,Male,8.0,Caucasian,26.0,9.0,12.0,9.0,5.0,https://www.congress.gov/img/member/s000064_200.jpg
437,Sawyer,Tom,107.0,2001.0,OH,House of Representative,14.0,Democrat,1986.0,Male,19.0,Caucasian,4.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s000094_200.jpg
438,Saxton,Jim,107.0,2001.0,NJ,House of Representative,3.0,Republican,1984.0,Male,13.0,Caucasian,20.0,5.0,1.0,1.0,1.0,https://www.congress.gov/img/member/s000097_200.jpg
439,Scarborough,Joe,107.0,2001.0,FL,House of Representative,1.0,Republican,1994.0,Male,23.0,Caucasian,12.0,1.0,1.0,1.0,1.0,https://www.congress.gov/img/member/s000106_200.jpg
440,Schaffer,Bob,107.0,2001.0,CO,House of Representative,4.0,Republican,1996.0,Male,6.0,Caucasian,9.0,1.0,2.0,1.0,1.0,https://www.congress.gov/img/member/s000112_200.jpg
441,Schakowsky,Janice,107.0,2001.0,IL,House of Representative,9.0,Democrat,1998.0,Female,20.0,Caucasian,13.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_il_9_schakowsky_janice_200.jpg
442,Schiff,Adam,107.0,2001.0,CA,House of Representative,27.0,Democrat,2000.0,Male,52.0,Caucasian,13.0,1.0,1.0,0.0,0.0,https://www.congress.gov/img/member/115_rp_ca_28_schiff_adam_200.jpg
443,Schrock,Edward,107.0,2001.0,VA,House of Representative,2.0,Republican,2000.0,Male,11.0,Caucasian,2.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/s001151_200.jpg
444,Schumer,Charles,107.0,2001.0,NY,Senate,0.0,Democrat,1998.0,Male,31.0,Caucasian,51.0,8.0,5.0,2.0,1.0,https://www.congress.gov/img/member/s000148_200.jpg
445,Scott,Robert,107.0,2001.0,VA,House of Representative,3.0,Democrat,1992.0,Male,11.0,"African-American, Asian-American",3.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_va_3_scott_robert_200.jpg
446,Sensenbrenner,F.,107.0,2001.0,WI,House of Representative,9.0,Republican,1978.0,Male,9.0,Caucasian,28.0,12.0,17.0,16.0,8.0,https://www.congress.gov/img/member/s000244_200.jpg
447,Serrano,Jose,107.0,2001.0,NY,House of Representative,16.0,Democrat,1990.0,Male,31.0,Latino/a,11.0,0.0,0.0,0.0,0.0,https://www.congress.gov/img/member/114_rp_ny_15_serrano_jos_200.jpg
